id,URL,status,error
143,http://datini.archiviodistato.prato.it/la-ricerca/le-edizioni-delle-lettere#n,200,
144,http://www.shikshapatri.org.uk/,200,
145,http://ebeowulf.uky.edu/,200,
146,http://www.edickinson.org/,202,
147,http://rotunda.upress.virginia.edu/edc/,200,
148,http://abo.annotatedbooksonline.com/#binding-5-1,200,
149,http://www.mpiwg-berlin.mpg.de/Galileo_Prototype/MAIN.HTM,200,
150,http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,404,Cannot connect to host kundigebok.stadtarchiv.goettingen.de:80 ssl:default [Name or service not known]
151,http://rotunda.upress.virginia.edu/melville/,200,
152,http://letters.mozartways.com/,200,
153,http://courses.washington.edu/otap/intibah/intibah.html,404,
154,http://www.nma.gov.au/collections/collection_interactives/jerilderie_letter,404,
155,http://www.chlt.org/sandbox/colloquia/argenis/index.html,404,Cannot connect to host chlt.orgsandbox:443 ssl:default [Name or service not known]
156,http://rotunda.upress.virginia.edu/EmilyShore/make-page.xqy,200,
157,http://www.phalese.fr/Maldoror/index.php?title=Accueil,500,
158,http://www.cn-telma.fr/nesle/index/,404,Cannot connect to host www.cn-telma.fr:80 ssl:default [Temporary failure in name resolution]
159,http://dohistory.org/diary/index.html,200,
160,http://www.oliveschreiner.org/,200,
161,http://rabindranathtagore-150.gov.in/online-voriourum.html,404,Cannot connect to host rabindranathtagore-150.gov.in:80 ssl:default [Temporary failure in name resolution]
162,http://www.cn-telma.fr/ordonnances/index/,404,Cannot connect to host www.cn-telma.fr:80 ssl:default [Temporary failure in name resolution]
163,http://septuaginta.net/,200,
164,http://www.siratbanihilal.ucsb.edu/start-0,404,
165,http://sks.dk/forside/indhold.asp,200,
166,http://ctb.kantl.be/publicaties/de-teleurgang-van-den-waterhoek-elektronisch-kritische-editie-electronic-c,200,
167,http://rotunda.upress.virginia.edu/founders/ADMS.html,200,
168,http://drapier.dho.ie/node/232,404,
169,http://hridigital.shef.ac.uk/gide,200,
170,http://www.lib.unb.ca/Texts/marston/,404,
171,http://rth.org.uk/collections/bevan-dewar-letters,200,
172,http://www.abdn.ac.uk/diss/historic/collects/bps/index.html,200,
173,http://www.textualcommunities.usask.ca/web/canterbury-tales,404,Cannot connect to host www.textualcommunities.usask.ca:80 ssl:default [Name or service not known]
174,http://digitaltemple.rotunda.upress.virginia.edu/,200,
175,http://www.nb.no/baser/diriks/virtuellealbum/index.html,404,
176,http://rotunda.upress.virginia.edu/founders/RNCN.html,200,
177,http://rotunda.upress.virginia.edu/dmde/,200,
178,http://geesebook.asu.edu,200,
179,https://www.hrionline.ac.uk/hartlib/,404,Cannot connect to host www.hrionline.ac.uk:443 ssl:default [Name or service not known]
180,http://rotunda.upress.virginia.edu/crossetti/,200,
181,http://rotunda.upress.virginia.edu/arnold/,200,
182,http://www.maloryproject.com/,200,
183,http://rotunda.upress.virginia.edu/founders/ARHN.html,200,
184,http://rotunda.upress.virginia.edu/PinckneyHorry/,200,
185,http://rotunda.upress.virginia.edu/founders/GEWN.html,200,
186,http://rotunda.upress.virginia.edu/founders/JSMN.html,200,
187,http://rotunda.upress.virginia.edu/founders/TSJN.html,200,
188,http://hridigital.shef.ac.uk/galdos,200,
189,http://vlib.iue.it/carrie/documents/planctus/planctus/index.html,503,
190,http://www.birmingham.ac.uk/research/activity/leopardi/projects/index.aspx,200,
191,http://edities.kantl.be/loveling/,200,
192,http://nzetc.victoria.ac.nz/tm/scholarly/tei-corpus-golder.html,200,
193,http://trove.nla.gov.au/work/33020507,200,
194,http://www.nlx.com/collections/124,200,
195,http://www.birmingham.ac.uk/research/activity/leopardi/projects/barcelona.aspx,404,
196,http://www.getty.edu/research/mellini/,200,
197,http://iaa.bibl.u-szeged.hu/index.php,200,
198,http://hellenic-institute.rhul.ac.uk/Research/Etheridge/,404,Server disconnected
199,http://www.ssrq-sds-fds.ch/teiviewer/,200,
200,http://dantiscus.al.uw.edu.pl/,200,
201,http://sd-editions.com/AnaAdditional/commediaonline/home.html,200,
202,http://quod.lib.umich.edu/m/machyn/,200,
203,http://www.ssrq-sds-fds.ch/online/,200,
204,http://www.realbiblioteca.es/gomez_manrique/cancionero.html,200,
205,http://www.aschart.kcl.ac.uk/index.html,200,
206,http://byzantini.st/ChronicleME/,200,
207,http://www.desgodets.net,200,
208,http://diglib.hab.de/wdb.php?dir=edoc/ed000228&lang=en,200,
209,http://www.forschungsdatenarchiv.escience.uni-tuebingen.de/adlils/,404,Cannot connect to host www.forschungsdatenarchiv.escience.uni-tuebingen.de:80 ssl:default [Name or service not known]
210,http://jechante.exeter.ac.uk/archive/index.html,404,Cannot connect to host jechante.exeter.ac.uk:80 ssl:default [Name or service not known]
211,http://www.alberteinstein.info/,200,
212,http://pelavicino.labcd.unipi.it/,200,
213,http://www.woolfonline.com/,200,
214,http://www.bovary.fr/,200,
215,http://digital.nypl.org/schomburg/writers_aa19/,200,
216,http://beta.faustedition.net/,200,
217,https://fontane-nb.dariah.eu/index.html,404,
218,http://senckenberg.ub.uni-frankfurt.de/s/startpage,200,
219,http://alexandredumas.org/,200,
220,http://telota.bbaw.de/AvHBriefedition/index.html,200,
221,http://burckhardtsource.org/,200,
222,http://jewish-history-online.net/,200,
223,http://inamidst.com/stuff/sappho/,200,
224,http://www.orlandofurioso.org/,404,
225,http://www.schopenhauer.uni.wroc.pl/,200,
226,http://claviusontheweb.it/,404,
227,http://fleischmanndiaries.ucc.ie/,200,
228,http://www.deutschestextarchiv.de/,200,
229,http://tarsian.vital-it.ch/,200,
